"Set number";"Name";"Theme";"Pieces";"Dimensions";"Weight";"RRP";"Year"
"3177-1";"Small Car";"City";43;"12.2 x 9.1 x 5.8 cm (4.8 x 3.6 x 2.3 in)";"0.06Kg (0.13 lb)";"£3.99 / US$4.99 / €4.99";"2010"
"3178-1";"Seaplane";"City";102;"19.1 x 14.1 x 6.1 cm (7.5 x 5.6 x 2.4 in)";"0.18Kg (0.4 lb)";"£8.49 / US$10.99 / €9.99";"2010"
"3179-1";"Repair Truck";"City";118;"26.2 x 14.1 x 6.1 cm (10.3 x 5.6 x 2.4 in)";"0.21Kg (0.46 lb)";"£9.99 / US$12.99 / €12.99";"2010"
"3180-1";"Tank Truck";"City";222;"35.4 x 19.1 x 9.1 cm (13.9 x 7.5 x 3.6 in)";"0.49Kg (1.08 lb)";"£14.99 / US$19.99 / €19.99";"2010"
"3181-1";"Passenger Plane";"City";309;"48 x 28.2 x 7.4 cm (18.9 x 11.1 x 2.9 in)";"0.76Kg (1.67 lb)";"£35.99 / US$39.99 / €34.99";"2010"
"3182-1";"Airport";"City";703;"58.2 x 37.8 x 10.3 cm (22.9 x 14.9 x 4.1 in)";"1.96Kg (4.32 lb)";"£81.99 / US$99.99 / €89.99";"2010"
"3221-1";"LEGO City Truck";"City";278;"48 x 28.2 x 6.1 cm (18.9 x 11.1 x 2.4 in)";"0.68Kg (1.5 lb)";"£29.99 / US$34.99 / €29.99";"2010"
"3365-1";"Space Moon Buggy";"City";37;"12.2 x 9.1 x 4.7 cm (4.8 x 3.6 x 1.9 in)";"0.06Kg (0.13 lb)";"£3.99 / US$4.99 / €4.99";"2011"
"3366-1";"Satellite Launch Pad";"City";165;"26.2 x 19.1 x 6.1 cm (10.3 x 7.5 x 2.4 in)";"0.32Kg (0.7 lb)";"£13.99 / US$19.99 / €16.99";"2011"
"3367-1";"Space Shuttle";"City";231;"38.2 x 26.2 x 5.6 cm (15 x 10.3 x 2.2 in)";"0.59Kg (1.3 lb)";"£26.99 / US$29.99 / €29.99";"2011"
"3368-1";"Space Centre";"City";494;"48 x 37.8 x 7.1 cm (18.9 x 14.9 x 2.8 in)";"1.39Kg (3.06 lb)";"£49.99 / US$69.99 / €59.99";"2011"
"4200-1";"Mining 4x4";"City";102;"19.1 x 14.1 x 6.1 cm (7.5 x 5.6 x 2.4 in)";"0.15Kg (0.33 lb)";"£7.99 / US$11.99 / €9.99";"2012"
"4201-1";"Loader and Tipper";"City";139;"26.2 x 19.1 x 6.1 cm (10.3 x 7.5 x 2.4 in)";"0.3Kg (0.66 lb)";"£12.99 / US$17.99 / €14.99";"2012"
"4202-1";"Mining Truck";"City";269;"38.2 x 26.2 x 7.1 cm (15 x 10.3 x 2.8 in)";"0.69Kg (1.52 lb)";"£19.99 / US$34.99 / €19.99";"2012"
"4203-1";"Excavator Transporter";"City";305;"38.2 x 26.2 x 7.1 cm (15 x 10.3 x 2.8 in)";"0.68Kg (1.5 lb)";"£24.99 / US$39.99 / €34.99";"2012"
"4204-1";"The Mine";"City";748;"58.2 x 37.8 x 8.7 cm (22.9 x 14.9 x 3.4 in)";"1.74Kg (3.83 lb)";"£69.99 / US$99.99 / €79.99";"2012"
"4208-1";"Fire Truck";"City";243;"35.4 x 19.1 x 5.9 cm (13.9 x 7.5 x 2.3 in)";"0.44Kg (0.97 lb)";"£17.99 / US$19.99 / €19.99";"2012"
"4209-1";"Fire Plane";"City";522;"54 x 28.2 x 5.9 cm (21.3 x 11.1 x 2.3 in)";"1.02Kg (2.25 lb)";"£39.99 / US$59.99 / €49.99";"2012"
"4427-1";"Fire ATV";"City";50;"12.2 x 9.1 x 5.8 cm (4.8 x 3.6 x 2.3 in)";"0.07Kg (0.15 lb)";"£3.99 / US$5.99 / €4.99";"2012"
"4431-1";"Ambulance";"City";199;"35.4 x 19.1 x 5.9 cm (13.9 x 7.5 x 2.3 in)";"0.4Kg (0.88 lb)";"£14.99 / US$19.99 / €19.99";"2012"
"4432-1";"Garbage Truck";"City";208;"26.2 x 19.1 x 7.2 cm (10.3 x 7.5 x 2.8 in)";"0.41Kg (0.9 lb)";"£17.99 / US$19.99 / €19.99";"2012"
"4433-1";"Dirt Bike Transporter";"City";201;"26.2 x 19.1 x 6.1 cm (10.3 x 7.5 x 2.4 in)";"0.36Kg (0.79 lb)";"£17.99 / US$19.99 / €19.99";"2012"
"4434-1";"Dump Truck";"City";222;"35.4 x 19.1 x 5.9 cm (13.9 x 7.5 x 2.3 in)";"0.39Kg (0.86 lb)";"£14.99 / US$19.99 / €19.99";"2012"
"4435-1";"Car and Caravan";"City";218;"35.4 x 19.1 x 5.9 cm (13.9 x 7.5 x 2.3 in)";"0.42Kg (0.93 lb)";"£14.99 / US$19.99 / €19.99";"2012"
"4436-1";"Patrol Car";"City";97;"19.1 x 14.1 x 4.6 cm (7.5 x 5.6 x 1.8 in)";"0.15Kg (0.33 lb)";"£7.99 / US$11.99 / €9.99";"2012"
"4437-1";"Police Pursuit";"City";129;"26.2 x 19.1 x 4.6 cm (10.3 x 7.5 x 1.8 in)";"0.28Kg (0.62 lb)";"£12.99 / US$17.99 / €14.99";"2012"
"4439-1";"Heavy-Lift Helicopter";"City";393;"48 x 28.2 x 7.4 cm (18.9 x 11.1 x 2.9 in)";"0.94Kg (2.07 lb)";"£34.99 / US$49.99 / €39.99";"2012"
"4440-1";"Forest Police Station";"City";633;"48 x 37.8 x 7.1 cm (18.9 x 14.9 x 2.8 in)";"1.33Kg (2.93 lb)";"£59.99 / US$79.99 / €69.99";"2012"
"4441-1";"Police Dog Van";"City";313;"38.2 x 26.2 x 5.6 cm (15 x 10.3 x 2.2 in)";"0.55Kg (1.21 lb)";"£19.99 / US$34.99 / €29.99";"2012"
"4641-1";"Speedboat";"City";34;"12.2 x 9.1 x 5.8 cm (4.8 x 3.6 x 2.3 in)";"0.08Kg (0.18 lb)";"£3.99 / US$4.99 / €4.99";"2011"
"4642-1";"Fishing Boat";"City";64;"26.2 x 19.1 x 4.6 cm (10.3 x 7.5 x 1.8 in)";"0.26Kg (0.57 lb)";"£13.99 / US$19.99 / €14.99";"2011"
