piece_id,descr
60485,Technic Axle 9
15924,Minifig Police Hat with Gold Badge Print
16542,Minifig Simple Hose Nozzle with 35L Black String
973pr0110c01,Torso with Blue Coveralls and Plumber Print
83489,FLAT TILE 1X4
10518,"BRICK 2X2, EYE"
973pr1360c01,Torso Exo-Force Silver Body Armour with Light Orange Camouflage Print / Dark Red Arms / Black Hands
88699,Minifig Helmet - Rebel Pilot with Dark Bluish Gray Print
87079pr0056,Tile 2 x 4 with Framed Horse Print
90255,Wampa Arm Left
973pr0100c01,Torso with Gray/Blue Tunic and Brown Belt Print / Blue Arms / Black Hands
3626cpr1353,"MINI HEAD ""NO. 1353"""
3626cpr1350,"MINI HEAD ""NO. 1350"""
3626cpr1352,"MINI HEAD ""NO. 1352"""
16984,"MINI FIGURE, BASEBALL CAP ""NO. 8"""
973pr0180c01,Torso with Blue Work Jacket and Pockets Print
17037,"ROOF TILE 2X2X2/65 DEG. ""NO.42"""
30602pr0003,"Slope Curved 2 x 2 Lip, No Studs with Rivets and Dark Red Tiger Stripes Print"
3626cpr0743,MINI HEAD NO 743
15397,Plate Special 3 x 3 Cross
90254,Wampa Arm Right
973pr0040c01,Torso with Blue Dress Yellow Arms
973pr1091c01,Torso Darth Vader / Black Arms / Black Hands
64952,"BIRD, CO-INJ."
80269,FLAT TILE 2X2 ROUND - WATCH
80170,FLAT TILE 1X2 LETTER
twn100,Minifig
3626cpr0929,"Minifig, Head Male Dark Orange Bushy Beard and Eyebrows, Goatee, White Pupils Pattern - Stud Recessed"
973pr0190c01,Torso with Lime Shirt and Green and White Swirls Print
89752,Wampa Body with Face Print
50986pr0001,Windscreen 10 x 6 x 3 Bubble Canopy Double Tapered with Jedi Starfighter Print [7256 / 7283 / 7661]
3678bpr0042,Slope 65° 2 x 2 x 2 with Bottom Tube with Blue Ballgown Dress Print
15577,ICE CREAM CONE 4X4X3
3626bpr0922,"Minifig Head with Face, Stubble and Smirk Print"
15875pr0002,Hips and Princess Skirt with Starburst Print
72329,Minifig Commando Accessory Kit
973pr0050c01,Torso with Brown Western Jacket and Black Bowtie Print with White Arms and Yellow Hands
3626bpr0466,"Minifig, Head Female with Blue Green Eyes, Brown Hair Lines on Sides Print [Katara 3829]"
16445,Sticker Sheet for 70806-1
56142,Sticker Sheet for 10175-1
3022,Plate 2 x 2
973pr0200c01,Torso with Orange Work Apron Print
973pr0210c01,Torso with Female Blue Shirt and Seashell Pendant Print
76338,Duplo Bed 3 X 5 X 35.5
973pr0130c01,Torso with Fireman Equipment Print / Black Arms / Black Hands
3626cpr1241,"Minifig Head Dual Sided - Glasses with Blue Frame, Medium Dark Flesh Eyebrows, Red Lipstick, Smirk / Open Smile Print - Recessed Stud"
970c00pr0616,Hips and Legs with White Stained Apron Print
10531,FORK
973pr0140c01,Torso with Dark Red Shirt and Blue Coveralls Print / Dark Red Arms / Yellow Hands
973pr0070c01,Torso with Olive Green Stained Shirt and Apron Print
973pr0220c01,Wetsuit with Blue Wave Logo and Silver Zip Back Print / Black Arms / Yellow Hands
16032,Friends Fish [Flounder] with Face and Fin Print
75903,"SPROCKET, Ø25,8"
98138,Tile Round 1 x 1
16284,Torso Mechanical - General Grievous with White Armour Print
973pr0230c01,Torso with White Surfer Singlet Print
16306,Mechanical Arm Left - General Grievous with White Print
973pr0150c01,Torso with Blacktron Logo under Shirt Print / Dark Red Arms / Yellow Hands
10721,"PLASTIC MOTOR, CRANK"
973pr2505c01,Torso with Gundabad Orc Armour Print / Medium Dark Flesh Arms / Reddish Brown Hands
85973,Minifig Pistol [Automatic Long Barrel and Round Magazine]
973pr0160c01,Torso with Green/Blue Fabuland Print
973pr2512c01,Torso Wizard's Robe with Dark Red Trim Print / Dark Brown Arms / Light Flesh Hands
55981,"Wheel 30.4 x 14 with Pin Hole, Fake Bolts and Shallow Spokes"
973pr0240c01,Torso with Dark Blue Shirt and Red Cross Checks Print
6628,Technic Pin with Friction Ridges Lengthwise and Towball
973pr0250c01,Torso Dark Red Chequered Shirt With Tool Belt Print / Dark Red Arms / Yellow Hands
92456pr0044c01,Torso Friends with Magenta and White Striped Bikini Top Print
15468,VISOR NR. 1 NO.4
14718,WALL ELEMENT 1X4X2
973pr0170c01,Torso with Iron Man 3 Print
60125,Electric Sound Brick 2 x 4 x 2 Light Bluish Gray Top - Dinosaur Roar Sound
973px414,Minifig Torso with DkRed and Silver Scorpion Print
14795,Sticker Sheet for 60042-1
970c00pr0563,Hips and Legs with Iron Man 3 Print
15894,DUPLO BRICK 1X2X2 NO. 8
15906,DUPLO BRICK 2X2 NO. 18
15898,BRICK 2X4 W. BOWS NO. 3
32015,Technic Axle and Pin Connector Angled #5 - 112.5°
973pr0260c01,Torso Reflective Stripes with Utility Belt and Fire Badge on Back Print / Black Arms / Dark Bluish Gray Hands
3626cpr1091,"Minifig Head - Stubble, Black Eyebrows and Scowl Print - Recessed Stud"
17038,"ROUND PLATE Ø32X6.4 ""NO 13"""
12592,"WHEEL BASE 2X4 Ø 27,5, W WHEEL"
12067,"BANANAS, DEC."
61310,DUPLO PLATE 8X16X0.5
75930,DUPLO LONG NECK
973pr2398c01,Torso - Princess Leia Metal Slave Bikini Print / Light Flesh Arms / Light Flesh Hands
973pc67,Minifig Torso with Clockwork Robot Print
973pr0080c01,Torso with Red Blouse and Black Straps Print / Yellow Arms / Yellow Hands
3626cpr1333,MINI HEAD NO. 1333
59225,Serpent Neck S-Curve with Moveable Ball Joint Pin
3009,Brick 1 x 6
973pr1991c01,Torso Spider-Man Suit Print / Blue Arms / Red Hands
3626cpr1396,MINI HEAD NO. 1396
3626cpr1355,MINI HEAD NO. 1355
63017,"ROOF TILE 2X2X1 1/2, D.PETROL"
12530,MINI LOWER PART NO 408
3856,Window 1 x 2 x 3 Shutter
14187pr0001,Plastic Sail 17 x 24 with Reddish Brown Lines Print
3626cpr1216,MINI HEAD NO. 1216
13349,ROOF TILE 4X2/18° INV.
3008p21,Brick 1 x 8 with Ferry Squares Light Blue 32 in 2 Lines Print
44658,2 KNIVES
47202,DUP. MAN  WITH HELMET
10111,ADULT FIGURE W/HEADSET
10566,SPADE
970c00pr0529,Hips and Legs with Scarecrow Trousers Print
4162pr0020,Tile 1 x 8 with 'Leaning Tower Of Pisa' Print
16434,FRUIT
32525,Technic Beam 1 x 11 Thick
6542,"Technic, Gear 16 Tooth with Clutch"
6538c,Technic Axle Connector [Smooth X hole + orientation]
32072,Technic Knob Wheel
87313,"CAT, ASSEMBLED"
3068bpr0213,Tile 2 x 2 with SW Droid T7-O1 Panel Print [9497]
59226,Dragon Head (Fantasy Era) Upper Jaw with Black Scales and Yellow Eyes Print
16317,"MINI LOWER PART ""NO. 616"""
15570,"ROUND PLATE 1X1 ""NO. 1000"""
15327,DUPLO SHOWER
11835,DUPLO SHOWER CURTAIN
13457,"SLEEPING BAG 5X8, DEC. 2"
13415,"SLEEPING BAG 5X8, DEC. 1"
12785,DUPLO BRICK 1X2X2 NO. 2
13161,DUPLO BRICK 1X2X2 NO. 3
61257,BRICK 1X2X2 DECO. JUICE
40490,Technic Beam 1 x 9 Thick
973pr2414c01,Torso with Scarecrow Chest and Arm Print / Dark Tan Arms / Tan Hands
18386,BRICK 1X2X2 77 DEGREES 1 M - ASS.
3626cpr1390,MINI HEAD NO.1390
3626cpr1341,MINI HEAD NO. 1341
